<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
466, 120898, 117345, 138439, 107498, 104453, 117726
467, 123793, 130072, 101154, 102593, 107590, 113040
468, 99348, 104717, 104078, 120191, 121184, 109903
469, 121975, 142404, 120750, 121959, 120524, 125522
470, 126921, 121871, 121885, 122510, 124703, 123578
471, 124822, 123406, 123854, 128526, 129691, 126059
472, 126838, 129458, 133475, 123751, 117259, 126156
473, 124015, 124449, 130296, 125137, 122190, 125217
474, 125245, 124707, 108264, 116216, 113334, 117553
475, 116806, 126824, 125820, 125888, 125119, 124091
476, 127863, 146276, 157889, 154404, 163807, 150047
477, 156207, 195094, 163403, 176253, 165372, 171265
478, 169807, 163972, 168869, 166578, 163291, 166503
479, 171354, 160213, 168428, 162833, 170916, 166748
480, 164232, 174275, 392401, 271583, 297609, 260020
481, 557163, 408642, 373128, 395641, 436376, 434190
482, 369392, 402784, 397030, 385052, 404670, 391785
483, 348641, 379727, 412497, 385995, 173678, 340107
484, 175084, 174762, 179127, 170879, 173274, 174625
485, 176106, 174820, 176187, 140500, 146089, 162740
486, 143785, 144068, 162695, 170489, 173909, 158989
487, 169062, 171609, 188419, 167315, 148542, 168989
488, 120774, 120834, 143597, 121494, 120431, 125426
489, 121500, 135727, 121349, 120117, 170267, 133792
490, 172085, 174643, 172395, 171074, 172554, 172550
491, 170431, 173679, 172583, 172114, 171966, 172154
492, 172357, 172292, 171235, 171028, 175707, 172523
493, 177423, 177447, 177817, 183438, 178319, 178888
494, 178782, 177504, 178485, 178639, 191972, 181076
495, 185944, 186679, 186945, 184820, 185928, 186063
496, 202560, 188379, 184210, 194437, 207143, 195345
497, 187282, 199611, 200060, 194703, 187142, 193759
498, 180255, 193369, 190070, 186129, 192649, 188494
499, 158612, 157548, 173770, 159981, 158329, 161648
500, 167077, 158171, 160864, 227643, 161419, 175034
501, 157676, 168264, 157699, 159196, 186254, 165817
502, 191840, 193279, 190070, 188502, 188270, 190392
503, 180964, 146200, 539325, 428212, 419590, 342858
504, 318407, 381060, 327586, 461660, 409614, 379665
505, 447592, 460493, 410641, 471558, 423612, 442779
506, 460149, 314083, 207209, 181955, 183216, 269322
507, 192281, 183902, 2323197, 200875, 190363, 618123
508, 188594, 188010, 222253, 194486, 197695, 198207
509, 187514, 192344, 188031, 175749, 181241, 184975
510, 182532, 254504, 188157, 194437, 190934, 202112
511, 223296, 235213, 201802, 199597, 194761, 210933
512, 194084, 211401, 193605, 192763, 194999, 197370
513, 192736, 205067, 185590, 188029, 188431, 191970
514, 191126, 192896, 189852, 199132, 186903, 191981
515, 189668, 188870, 190313, 191068, 191071, 190198
516, 212598, 202938, 207705, 176158, 167423, 193364
517, 157287, 163387, 173487, 161643, 157953, 162751
