<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
446, 515984, 515320, 654795, 512959, 522350, 544281
447, 511818, 527198, 522515, 528644, 513133, 520661
448, 533428, 670719, 526100, 527739, 536171, 558831
449, 575934, 533713, 512517, 519787, 515104, 531411
450, 517575, 566120, 516585, 529304, 534062, 532729
451, 579850, 521371, 519422, 528336, 527873, 535370
452, 594849, 606201, 543221, 520988, 586582, 570368
453, 529396, 520986, 541389, 552165, 515836, 531954
454, 541459, 548065, 559120, 559510, 525338, 546698
455, 536384, 531860, 524355, 528085, 619489, 548034
456, 561460, 531123, 546462, 522597, 525309, 537390
457, 524934, 534692, 640863, 696423, 860747, 651531
458, 701490, 535407, 534619, 538733, 531733, 568396
459, 559082, 609382, 549310, 540841, 533089, 558340
460, 542028, 550210, 535702, 551379, 554385, 546740
461, 536695, 540071, 535700, 542121, 564879, 543893
462, 594849, 592750, 594958, 623224, 575465, 596249
463, 562256, 641446, 647599, 550336, 583373, 597002
464, 638733, 588427, 547354, 557711, 543623, 575169
465, 691910, 681177, 689170, 852247, 942898, 771480
466, 653564, 974608, 858139, 669354, 635298, 758192
467, 630047, 713285, 964918, 949501, 667187, 784987
468, 782153, 671917, 653362, 652229, 651771, 682286
469, 681775, 692541, 700469, 646725, 635979, 671497
470, 702676, 636740, 661218, 713181, 686291, 680021
471, 645635, 641290, 640988, 735543, 727837, 678258
472, 648193, 633828, 631884, 657861, 638298, 642012
473, 642970, 640906, 639100, 701169, 644253, 653679
474, 662037, 642620, 668967, 660176, 645942, 655948
475, 645212, 662107, 653511, 685421, 932996, 715849
476, 682392, 1057854, 752707, 740930, 679539, 782684
477, 717434, 719723, 655073, 689441, 656443, 687622
478, 717236, 655117, 733102, 692892, 662628, 692195
479, 666709, 668275, 672455, 668111, 675890, 670288
480, 676578, 675966, 679201, 749673, 704529, 697189
481, 673983, 664588, 659679, 659064, 659802, 663423
482, 665957, 671119, 663835, 664969, 679769, 669129
483, 675463, 665396, 666395, 664317, 665404, 667395
484, 681567, 670433, 669801, 666340, 664084, 670445
485, 666731, 655071, 661981, 642909, 672796, 659897
486, 673413, 680988, 691083, 676588, 774676, 699349
487, 674902, 718205, 673591, 692740, 714478, 694783
488, 1014477, 1164002, 1209932, 1391407, 1386857, 1233335
489, 803155, 684099, 707532, 701373, 704878, 720207
490, 681388, 698745, 781922, 786514, 711857, 732085
491, 1756608, 698475, 605324, 604775, 641412, 861318
492, 736196, 623463, 714225, 624770, 648337, 669398
493, 668886, 660657, 644777, 607916, 614988, 639444
494, 630855, 673094, 767555, 608746, 1033043, 742658
495, 737539, 609226, 847685, 706678, 655278, 711281
496, 614717, 660670, 648310, 668353, 611175, 640645
497, 714940, 613945, 800140, 836703, 905967, 774339
498, 798937, 692050, 809594, 893565, 715826, 781994
499, 636388, 645265, 929011, 694339, 720079, 725016
500, 695716, 762380, 789124, 756418, 751886, 751104
501, 697353, 751540, 623503, 711921, 948908, 746645
502, 648359, 745017, 641536, 713431, 851437, 719956
503, 1023649, 756976, 634471, 729120, 697669, 768377
504, 670491, 860555, 871056, 662311, 1100228, 832928
505, 699035, 670453, 762925, 681253, 675861, 697905
506, 800257, 951605, 812803, 647863, 846152, 811736
507, 726028, 659665, 637722, 728942, 766006, 703672
508, 713228, 981969, 801264, 769602, 646669, 782546
509, 670974, 712874, 709918, 639697, 925135, 731719
510, 819733, 838147, 867360, 757987, 795341, 815713
511, 805476, 673927, 649071, 739559, 648672, 703341
